Condition,心智需求 Mental Demand,時間需求 Temporal Demand,生理需求 PhysicalDemand,自我績效Performance,精力耗費 Effort,挫折程度 FrustrationLevel
PTF,15.0,0.0,10.0,10.0,15.0,5.0
PE,16.0,0.0,10.0,9.0,16.0,10.0
PM,15.0,0.0,9.0,10.0,15.0,8.0
DTF,12.0,0.0,10.0,10.0,12.0,5.0
DE,15.0,0.0,10.0,10.0,15.0,10.0
DM,14.0,0.0,10.0,10.0,14.0,8.0
C,15.0,0.0,10.0,10.0,15.0,10.0
DTF,6.0,6.0,1.0,8.0,12.0,10.0
DE,10.0,8.0,1.0,14.0,8.0,5.0
DM,8.0,7.0,1.0,5.0,7.0,5.0
C,11.0,7.0,1.0,3.0,15.0,14.0
PTF,12.0,6.0,1.0,12.0,9.0,9.0
PE,5.0,8.0,1.0,4.0,4.0,7.0
PM,4.0,5.0,1.0,9.0,11.0,10.0
