PictureName,ReactionTime,Response,Group,Condition,LabelType,Placement
C_1,12,3,Control,Control,Control,Control
C_1,22,3,Control,Control,Control,Control
C_10,9,2,Control,Control,Control,Control
C_10,9,3,Control,Control,Control,Control
C_2,8,1,Control,Control,Control,Control
C_2,6,1,Control,Control,Control,Control
C_3,14,2,Control,Control,Control,Control
C_3,12,2,Control,Control,Control,Control
C_4,13,3,Control,Control,Control,Control
C_4,15,2,Control,Control,Control,Control
C_5,12,5,Control,Control,Control,Control
C_5,25,5,Control,Control,Control,Control
C_6,6,5,Control,Control,Control,Control
C_6,8,5,Control,Control,Control,Control
C_7,15,3,Control,Control,Control,Control
C_7,20,2,Control,Control,Control,Control
C_8,9,1,Control,Control,Control,Control
C_8,10,4,Control,Control,Control,Control
C_9,14,2,Control,Control,Control,Control
C_9,7,5,Control,Control,Control,Control
DE_1,6,5,PEIm,PEIm,Implicit,Post_Exposure
DE_1,7,5,PEIm,PEIm,Implicit,Post_Exposure
DE_1Post-exposure,20,4,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_1Post-exposure,7,4,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_2,7,1,PEIm,PEIm,Implicit,Post_Exposure
DE_2,6,1,PEIm,PEIm,Implicit,Post_Exposure
DE_2Post-exposure,15,1,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_2Post-exposure,8,1,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_3,16,2,PEIm,PEIm,Implicit,Post_Exposure
DE_3,11,3,PEIm,PEIm,Implicit,Post_Exposure
DE_3Post-exposure,15,1,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_3Post-exposure,7,2,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_4,15,4,PEIm,PEIm,Implicit,Post_Exposure
DE_4,11,2,PEIm,PEIm,Implicit,Post_Exposure
DE_4Post-exposure,7,2,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_4Post-exposure,14,2,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_5,14,5,PEIm,PEIm,Implicit,Post_Exposure
DE_5,8,5,PEIm,PEIm,Implicit,Post_Exposure
DE_5Post-exposure,16,4,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DE_5Post-exposure,17,5,PEIm,PEIm_Post-exposure,Implicit,Post_Exposure
DM_1,7,5,PEM,PEM,Mix,Post_Exposure
DM_1,5,5,PEM,PEM,Mix,Post_Exposure
DM_1Post-exposure,9,5,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_1Post-exposure,9,5,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_2,5,1,PEM,PEM,Mix,Post_Exposure
DM_2,17,4,PEM,PEM,Mix,Post_Exposure
DM_2Post-exposure,9,1,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_2Post-exposure,16,1,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_3,7,5,PEM,PEM,Mix,Post_Exposure
DM_3,16,2,PEM,PEM,Mix,Post_Exposure
DM_3Post-exposure,11,4,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_3Post-exposure,18,3,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_4,8,1,PEM,PEM,Mix,Post_Exposure
DM_4,8,1,PEM,PEM,Mix,Post_Exposure
DM_4Post-exposure,11,1,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_4Post-exposure,5,1,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_5,16,3,PEM,PEM,Mix,Post_Exposure
DM_5,17,2,PEM,PEM,Mix,Post_Exposure
DM_5Post-exposure,9,3,PEM,PEM_Post-exposure,Mix,Post_Exposure
DM_5Post-exposure,18,5,PEM,PEM_Post-exposure,Mix,Post_Exposure
DTF_1,5,5,PEM,PEM,Mix,Post_Exposure
DTF_1,6,1,PEEx,PEEx,Explicit,Post_Exposure
DTF_1Post-exposure,11,3,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_1Post-exposure,10,2,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_2,5,1,PEEx,PEEx,Explicit,Post_Exposure
DTF_2,5,1,PEEx,PEEx,Explicit,Post_Exposure
DTF_2Post-exposure,6,1,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_2Post-exposure,5,1,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_3,5,5,PEEx,PEEx,Explicit,Post_Exposure
DTF_3,6,3,PEEx,PEEx,Explicit,Post_Exposure
DTF_3Post-exposure,18,4,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_3Post-exposure,7,5,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_4,5,1,PEEx,PEEx,Explicit,Post_Exposure
DTF_4,5,1,PEEx,PEEx,Explicit,Post_Exposure
DTF_4Post-exposure,9,1,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_4Post-exposure,7,1,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_5,14,5,PEEx,PEEx,Explicit,Post_Exposure
DTF_5,9,4,PEEx,PEEx,Explicit,Post_Exposure
DTF_5Post-exposure,27,3,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
DTF_5Post-exposure,6,4,PEEx,PEEx_Post-exposure,Explicit,Post_Exposure
PE_1,24,4,CCTIm,CCTIm,Implicit,Concurrent
PE_1,16,1,CCTIm,CCTIm,Implicit,Concurrent
PE_10,10,2,CCTIm,CCTIm,Implicit,Concurrent
PE_10,10,3,CCTIm,CCTIm,Implicit,Concurrent
PE_2,37,2,CCTIm,CCTIm,Implicit,Concurrent
PE_2,13,1,CCTIm,CCTIm,Implicit,Concurrent
PE_3,40,1,CCTIm,CCTIm,Implicit,Concurrent
PE_3,10,1,CCTIm,CCTIm,Implicit,Concurrent
PE_4,8,1,CCTIm,CCTIm,Implicit,Concurrent
PE_4,8,1,CCTIm,CCTIm,Implicit,Concurrent
PE_5,17,5,CCTIm,CCTIm,Implicit,Concurrent
PE_5,16,5,CCTIm,CCTIm,Implicit,Concurrent
PE_6,22,3,CCTIm,CCTIm,Implicit,Concurrent
PE_6,11,2,CCTIm,CCTIm,Implicit,Concurrent
PE_7,21,2,CCTIm,CCTIm,Implicit,Concurrent
PE_7,18,1,CCTIm,CCTIm,Implicit,Concurrent
PE_8,67,4,CCTIm,CCTIm,Implicit,Concurrent
PE_8,6,1,CCTIm,CCTIm,Implicit,Concurrent
PE_9,29,5,CCTIm,CCTIm,Implicit,Concurrent
PE_9,9,5,CCTIm,CCTIm,Implicit,Concurrent
PM_1,20,5,CCTM,CCTM,Mix,Concurrent
PM_1,7,5,CCTM,CCTM,Mix,Concurrent
PM_10,9,5,CCTM,CCTM,Mix,Concurrent
PM_10,10,2,CCTM,CCTM,Mix,Concurrent
PM_2,43,3,CCTM,CCTM,Mix,Concurrent
PM_2,8,1,CCTM,CCTM,Mix,Concurrent
PM_3,31,2,CCTM,CCTM,Mix,Concurrent
PM_3,15,1,CCTM,CCTM,Mix,Concurrent
PM_4,10,1,CCTM,CCTM,Mix,Concurrent
PM_4,13,1,CCTM,CCTM,Mix,Concurrent
PM_5,100,5,CCTM,CCTM,Mix,Concurrent
PM_5,18,4,CCTM,CCTM,Mix,Concurrent
PM_6,23,5,CCTM,CCTM,Mix,Concurrent
PM_6,6,5,CCTM,CCTM,Mix,Concurrent
PM_7,114,5,CCTM,CCTM,Mix,Concurrent
PM_7,19,4,CCTM,CCTM,Mix,Concurrent
PM_8,16,1,CCTM,CCTM,Mix,Concurrent
PM_8,12,1,CCTM,CCTM,Mix,Concurrent
PM_9,13,5,CCTM,CCTM,Mix,Concurrent
PM_9,24,3,CCTM,CCTM,Mix,Concurrent
PTF_1,19,3,CCTEx,CCTEx,Explicit,Concurrent
PTF_1,10,2,CCTEx,CCTEx,Explicit,Concurrent
PTF_10,8,2,CCTEx,CCTEx,Explicit,Concurrent
PTF_10,8,1,CCTEx,CCTEx,Explicit,Concurrent
PTF_2,5,5,CCTEx,CCTEx,Explicit,Concurrent
PTF_2,25,5,CCTEx,CCTEx,Explicit,Concurrent
PTF_3,33,5,CCTEx,CCTEx,Explicit,Concurrent
PTF_3,8,1,CCTEx,CCTEx,Explicit,Concurrent
PTF_4,8,1,CCTEx,CCTEx,Explicit,Concurrent
PTF_4,30,3,CCTEx,CCTEx,Explicit,Concurrent
PTF_5,6,5,CCTEx,CCTEx,Explicit,Concurrent
PTF_5,7,5,CCTEx,CCTEx,Explicit,Concurrent
PTF_6,8,5,CCTEx,CCTEx,Explicit,Concurrent
PTF_6,26,4,CCTEx,CCTEx,Explicit,Concurrent
PTF_7,22,3,CCTEx,CCTEx,Explicit,Concurrent
PTF_7,10,2,CCTEx,CCTEx,Explicit,Concurrent
PTF_8,8,1,CCTEx,CCTEx,Explicit,Concurrent
PTF_8,12,1,CCTEx,CCTEx,Explicit,Concurrent
PTF_9,7,5,CCTEx,CCTEx,Explicit,Concurrent
PTF_9,14,4,CCTEx,CCTEx,Explicit,Concurrent
PE_10,24,2,CCTIm,CCTIm,Implicit,Concurrent
PE_1,11,5,CCTIm,CCTIm,Implicit,Concurrent
PE_3,7,3,CCTIm,CCTIm,Implicit,Concurrent
PE_4,5,1,CCTIm,CCTIm,Implicit,Concurrent
PE_2,5,5,CCTIm,CCTIm,Implicit,Concurrent
PE_8,5,2,CCTIm,CCTIm,Implicit,Concurrent
PE_6,6,1,CCTIm,CCTIm,Implicit,Concurrent
PE_9,6,4,CCTIm,CCTIm,Implicit,Concurrent
PE_5,7,4,CCTIm,CCTIm,Implicit,Concurrent
PE_7,5,1,CCTIm,CCTIm,Implicit,Concurrent
PM_9,9,5,CCTM,CCTM,Mix,Concurrent
PM_6,6,2,CCTM,CCTM,Mix,Concurrent
PM_3,7,1,CCTM,CCTM,Mix,Concurrent
PM_1,7,2,CCTM,CCTM,Mix,Concurrent
PM_7,5,3,CCTM,CCTM,Mix,Concurrent
PM_2,6,5,CCTM,CCTM,Mix,Concurrent
PM_10,7,1,CCTM,CCTM,Mix,Concurrent
PM_8,5,1,CCTM,CCTM,Mix,Concurrent
PM_4,5,1,CCTM,CCTM,Mix,Concurrent
PM_5,5,3,CCTM,CCTM,Mix,Concurrent
DTF_2,7,1,PEEx,PEEx,Explicit,Post-Exposure
DTF_1,6,5,PEEx,PEEx,Explicit,Post-Exposure
DTF_3,5,1,PEEx,PEEx,Explicit,Post-Exposure
DTF_5,5,1,PEEx,PEEx,Explicit,Post-Exposure
DTF_4,5,2,PEEx,PEEx,Explicit,Post-Exposure
DTF_2_Post-exposure,7,1,PEEx,PEEx_Post-exposure,Explicit,Post-Exposure
DTF_1_Post-exposure,5,5,PEEx,PEEx_Post-exposure,Explicit,Post-Exposure
DTF_3_Post-exposure,5,5,PEEx,PEEx_Post-exposure,Explicit,Post-Exposure
DTF_5_Post-exposure,5,2,PEEx,PEEx_Post-exposure,Explicit,Post-Exposure
DTF_4_Post-exposure,5,1,PEEx,PEEx_Post-exposure,Explicit,Post-Exposure
DE_3,9,1,PEIm,PEIm,Implicit,Post-Exposure
DE_1,5,1,PEIm,PEIm,Implicit,Post-Exposure
DE_5,5,2,PEIm,PEIm,Implicit,Post-Exposure
DE_2,5,1,PEIm,PEIm,Implicit,Post-Exposure
DE_4,5,1,PEIm,PEIm,Implicit,Post-Exposure
DE_3_Post-exposure,5,5,PEIm,PEIm_Post-exposure,Implicit,Post-Exposure
DE_1_Post-exposure,5,5,PEIm,PEIm_Post-exposure,Implicit,Post-Exposure
DE_5_Post-exposure,6,2,PEIm,PEIm_Post-exposure,Implicit,Post-Exposure
DE_2_Post-exposure,7,1,PEIm,PEIm_Post-exposure,Implicit,Post-Exposure
DE_4_Post-exposure,5,2,PEIm,PEIm_Post-exposure,Implicit,Post-Exposure
DM_3,5,2,PEM,PEM,Mix,Post-Exposure
DM_1,7,1,PEM,PEM,Mix,Post-Exposure
DM_5,5,3,PEM,PEM,Mix,Post-Exposure
DM_4,6,1,PEM,PEM,Mix,Post-Exposure
DM_2,5,2,PEM,PEM,Mix,Post-Exposure
DM_3_Post-exposure,5,5,PEM,PEM_Post-exposure,Mix,Post-Exposure
DM_1_Post-exposure,5,2,PEM,PEM_Post-exposure,Mix,Post-Exposure
