PictureName,Status,Group,Placement,LabelType,Response,ReactionTime,NASA_Condition,MentalDemand,TemporalDemand,PhysicalDemand,Performance,Effort,FrustrationLevel,SE_Condition,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,Q1,Q2,Q3,Q4,Q5,Explicit,Implicit,Mix,Concurrent,Post-Exposure,CCTEx,CCTIm,CCTM,PEEx,PEIm,PEM
PTF_5,CCTEx,CCTEx,Concurrent,Explicit,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_3,CCTEx,CCTEx,Concurrent,Explicit,5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_6,CCTEx,CCTEx,Concurrent,Explicit,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_4,CCTEx,CCTEx,Concurrent,Explicit,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_7,CCTEx,CCTEx,Concurrent,Explicit,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_2,CCTEx,CCTEx,Concurrent,Explicit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_9,CCTEx,CCTEx,Concurrent,Explicit,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_1,CCTEx,CCTEx,Concurrent,Explicit,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_10,CCTEx,CCTEx,Concurrent,Explicit,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_8,CCTEx,CCTEx,Concurrent,Explicit,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PTF,15,0,10,10,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PTF,100,100,80,80,50,50,20,20,0,0,,,,,,,,,,,,,,,,
PE_9,CCTIm,CCTIm,Concurrent,Implicit,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_7,CCTIm,CCTIm,Concurrent,Implicit,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_3,CCTIm,CCTIm,Concurrent,Implicit,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_5,CCTIm,CCTIm,Concurrent,Implicit,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_6,CCTIm,CCTIm,Concurrent,Implicit,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_10,CCTIm,CCTIm,Concurrent,Implicit,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
