NASAParticipantId,NASA_Condition,NASA_Placement,NASA_LabelType,MentalDemand,TemporalDemand,PhysicalDemand,Performance,Effort,FrustrationLevel
1.0,CCTEx,Concurrent,Explicit,1.0,0.0,0.0,19.0,1.0,1.0
1.0,CCTIm,Concurrent,Implicit,11.0,2.0,9.0,12.0,9.0,9.0
1.0,CCTM,Concurrent,Mix,8.0,0.0,6.0,14.0,5.0,4.0
1.0,PEEx,PostExposure,Explicit,9.0,0.0,6.0,15.0,9.0,8.0
1.0,PEIm,PostExposure,Implicit,5.0,0.0,3.0,19.0,3.0,4.0
1.0,PEM,PostExposure,Mix,7.0,0.0,7.0,19.0,4.0,3.0
1.0,Control,Control,Control,11.0,0.0,6.0,17.0,8.0,7.0
10.0,CCTM,Concurrent,Mix,12.0,7.0,4.0,6.0,6.0,0.0
10.0,PEEx,PostExposure,Explicit,11.0,5.0,7.0,16.0,4.0,5.0
10.0,PEIm,PostExposure,Implicit,7.0,8.0,5.0,13.0,6.0,3.0
10.0,PEM,PostExposure,Mix,16.0,12.0,13.0,7.0,14.0,16.0
10.0,Control,Control,Control,15.0,6.0,4.0,14.0,12.0,7.0
10.0,CCTEx,Concurrent,Explicit,11.0,6.0,7.0,14.0,7.0,7.0
10.0,CCTIm,Concurrent,Implicit,12.0,8.0,12.0,7.0,13.0,15.0
11.0,PEEx,PostExposure,Explicit,14.0,1.0,1.0,17.0,7.0,0.0
11.0,PEIm,PostExposure,Implicit,15.0,2.0,0.0,6.0,5.0,0.0
11.0,PEM,PostExposure,Mix,15.0,0.0,4.0,14.0,6.0,4.0
11.0,Control,Control,Control,13.0,0.0,6.0,5.0,2.0,0.0
11.0,CCTEx,Concurrent,Explicit,14.0,0.0,0.0,3.0,2.0,0.0
11.0,CCTIm,Concurrent,Implicit,15.0,0.0,0.0,14.0,3.0,0.0
11.0,CCTM,Concurrent,Mix,13.0,0.0,0.0,7.0,7.0,0.0
12.0,PEIm,PostExposure,Implicit,4.0,1.0,2.0,14.0,5.0,12.0
12.0,PEM,PostExposure,Mix,7.0,1.0,5.0,11.0,4.0,10.0
12.0,Control,Control,Control,5.0,1.0,5.0,5.0,4.0,8.0
12.0,CCTEx,Concurrent,Explicit,5.0,1.0,4.0,7.0,3.0,6.0
12.0,CCTIm,Concurrent,Implicit,5.0,1.0,5.0,3.0,3.0,5.0
12.0,CCTM,Concurrent,Mix,5.0,1.0,4.0,6.0,3.0,3.0
