Ranking3ParticipantId,CCTEx,CCTIm,CCTM,PEEx,PEIm,PEM,Control
1.0,3.0,2.0,1.0,6.0,5.0,4.0,7.0
10.0,1.0,2.0,4.0,5.0,3.0,6.0,7.0
11.0,2.0,6.0,1.0,4.0,7.0,3.0,5.0
12.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0
13.0,1.0,3.0,2.0,5.0,6.0,4.0,7.0
14.0,7.0,3.0,5.0,4.0,1.0,2.0,6.0
15.0,6.0,3.0,5.0,4.0,1.0,2.0,7.0
16.0,6.0,4.0,2.0,5.0,3.0,1.0,7.0
17.0,4.0,6.0,5.0,1.0,3.0,2.0,7.0
18.0,6.0,1.0,2.0,5.0,4.0,3.0,7.0
19.0,6.0,4.0,3.0,5.0,2.0,1.0,7.0
2.0,4.0,6.0,2.0,3.0,5.0,1.0,7.0
20.0,6.0,5.0,3.0,4.0,2.0,1.0,7.0
21.0,1.0,5.0,3.0,2.0,6.0,4.0,7.0
22.0,6.0,1.0,2.0,7.0,4.0,3.0,5.0
23.0,7.0,5.0,6.0,2.0,1.0,3.0,4.0
24.0,2.0,5.0,1.0,4.0,6.0,3.0,7.0
25.0,2.0,3.0,1.0,4.0,5.0,6.0,7.0
26.0,4.0,3.0,1.0,5.0,6.0,2.0,7.0
27.0,5.0,2.0,1.0,6.0,4.0,3.0,7.0
28.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0
3.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0
4.0,4.0,2.0,1.0,7.0,5.0,3.0,6.0
5.0,5.0,6.0,3.0,2.0,4.0,1.0,7.0
6.0,1.0,2.0,3.0,4.0,6.0,5.0,7.0
7.0,2.0,4.0,1.0,5.0,6.0,3.0,7.0
8.0,1.0,6.0,2.0,3.0,5.0,4.0,7.0
9.0,4.0,6.0,3.0,2.0,5.0,1.0,7.0
