ParticipantId,PictureName,Status,Condition,Placement,LabelType,ReactionTime,Response
1.0,PTF_5,CCTEx,CCTEx,Concurrent,Explicit,6.0,5.0
1.0,PTF_1,CCTEx,CCTEx,Concurrent,Explicit,5.0,5.0
1.0,PTF_9,CCTEx,CCTEx,Concurrent,Explicit,5.0,5.0
1.0,PTF_6,CCTEx,CCTEx,Concurrent,Explicit,5.0,5.0
1.0,PTF_4,CCTEx,CCTEx,Concurrent,Explicit,5.0,1.0
1.0,PTF_7,CCTEx,CCTEx,Concurrent,Explicit,5.0,1.0
1.0,PTF_3,CCTEx,CCTEx,Concurrent,Explicit,5.0,1.0
1.0,PTF_10,CCTEx,CCTEx,Concurrent,Explicit,5.0,1.0
1.0,PTF_2,CCTEx,CCTEx,Concurrent,Explicit,5.0,5.0
1.0,PTF_8,CCTEx,CCTEx,Concurrent,Explicit,5.0,1.0
1.0,PE_4,CCTIm,CCTIm,Concurrent,Implicit,8.0,1.0
1.0,PE_3,CCTIm,CCTIm,Concurrent,Implicit,5.0,1.0
1.0,PE_5,CCTIm,CCTIm,Concurrent,Implicit,6.0,5.0
1.0,PE_6,CCTIm,CCTIm,Concurrent,Implicit,6.0,2.0
1.0,PE_9,CCTIm,CCTIm,Concurrent,Implicit,5.0,5.0
1.0,PE_10,CCTIm,CCTIm,Concurrent,Implicit,8.0,1.0
1.0,PE_2,CCTIm,CCTIm,Concurrent,Implicit,5.0,2.0
1.0,PE_7,CCTIm,CCTIm,Concurrent,Implicit,5.0,1.0
1.0,PE_1,CCTIm,CCTIm,Concurrent,Implicit,5.0,5.0
1.0,PE_8,CCTIm,CCTIm,Concurrent,Implicit,5.0,2.0
1.0,PM_10,CCTM,CCTM,Concurrent,Mix,5.0,1.0
1.0,PM_2,CCTM,CCTM,Concurrent,Mix,5.0,5.0
1.0,PM_1,CCTM,CCTM,Concurrent,Mix,6.0,5.0
1.0,PM_9,CCTM,CCTM,Concurrent,Mix,5.0,5.0
1.0,PM_8,CCTM,CCTM,Concurrent,Mix,5.0,1.0
