SDQParticipantId,Q1,Q1Type,Q2,Q2Type,Q3,Q3Type,Q4,Q4Type,Q5,Q5Type
1.0,4.0,Implicit,5.0,Explicit,4.0,Mix,5.0,Concurrent,5.0,PostExposure
10.0,5.0,Implicit,5.0,Explicit,5.0,Mix,4.0,Concurrent,5.0,PostExposure
11.0,2.0,Implicit,5.0,Explicit,5.0,Mix,5.0,Concurrent,1.0,PostExposure
12.0,4.0,Implicit,5.0,Explicit,5.0,Mix,5.0,Concurrent,3.0,PostExposure
13.0,3.0,Implicit,4.0,Explicit,4.0,Mix,4.0,Concurrent,3.0,PostExposure
14.0,5.0,Implicit,4.0,Explicit,4.0,Mix,4.0,Concurrent,5.0,PostExposure
15.0,4.0,Implicit,3.0,Explicit,4.0,Mix,4.0,Concurrent,5.0,PostExposure
16.0,5.0,Implicit,5.0,Explicit,5.0,Mix,5.0,Concurrent,5.0,PostExposure
17.0,4.0,Implicit,4.0,Explicit,2.0,Mix,5.0,Concurrent,4.0,PostExposure
18.0,4.0,Implicit,5.0,Explicit,4.0,Mix,4.0,Concurrent,5.0,PostExposure
19.0,4.0,Implicit,2.0,Explicit,4.0,Mix,4.0,Concurrent,4.0,PostExposure
2.0,2.0,Implicit,3.0,Explicit,3.0,Mix,3.0,Concurrent,4.0,PostExposure
20.0,4.0,Implicit,2.0,Explicit,5.0,Mix,3.0,Concurrent,4.0,PostExposure
21.0,4.0,Implicit,5.0,Explicit,5.0,Mix,4.0,Concurrent,5.0,PostExposure
22.0,4.0,Implicit,3.0,Explicit,4.0,Mix,4.0,Concurrent,2.0,PostExposure
23.0,4.0,Implicit,4.0,Explicit,2.0,Mix,2.0,Concurrent,4.0,PostExposure
24.0,2.0,Implicit,4.0,Explicit,5.0,Mix,5.0,Concurrent,3.0,PostExposure
25.0,4.0,Implicit,4.0,Explicit,5.0,Mix,5.0,Concurrent,2.0,PostExposure
26.0,4.0,Implicit,3.0,Explicit,4.0,Mix,4.0,Concurrent,4.0,PostExposure
27.0,5.0,Implicit,4.0,Explicit,5.0,Mix,5.0,Concurrent,2.0,PostExposure
28.0,4.0,Implicit,2.0,Explicit,4.0,Mix,3.0,Concurrent,4.0,PostExposure
3.0,4.0,Implicit,5.0,Explicit,5.0,Mix,5.0,Concurrent,3.0,PostExposure
4.0,4.0,Implicit,1.0,Explicit,4.0,Mix,4.0,Concurrent,2.0,PostExposure
5.0,2.0,Implicit,5.0,Explicit,4.0,Mix,3.0,Concurrent,5.0,PostExposure
6.0,2.0,Implicit,5.0,Explicit,3.0,Mix,1.0,Concurrent,3.0,PostExposure
7.0,5.0,Implicit,5.0,Explicit,5.0,Mix,5.0,Concurrent,2.0,PostExposure
8.0,4.0,Implicit,4.0,Explicit,2.0,Mix,3.0,Concurrent,4.0,PostExposure
9.0,3.0,Implicit,4.0,Explicit,4.0,Mix,2.0,Concurrent,4.0,PostExposure
