PictureName,Answer
C_1,5
C_10,1
C_2,5
C_3,1
C_4,1
C_5,5
C_6,5
C_7,1
C_8,1
C_9,5
DE_1,5
DE_2,1
DE_3,5
DE_4,1
DE_5,5
DE_6,5
DE_7,5
DE_8,1
DE_9,1
DE_10,1
DM_1,5
DM_2,1
DM_3,5
DM_4,1
DM_5,5
DM_6,5
DM_7,5
DM_8,1
DM_9,1
DM_10,1
DTF_1,5
DTF_2,1
DTF_3,5
DTF_4,1
DTF_5,5
DTF_6,5
DTF_7,5
DTF_8,1
DTF_9,1
DTF_10,1
PE_1,5
PE_10,1
PE_2,5
PE_3,1
PE_4,1
PE_5,5
PE_6,5
PE_7,1
PE_8,1
PE_9,5
PM_1,5
PM_10,1
PM_2,5
PM_3,1
PM_4,1
PM_5,5
PM_6,5
PM_7,1
PM_8,1
PM_9,5
PTF_1,5
PTF_10,1
PTF_2,5
PTF_3,1
PTF_4,1
PTF_5,5
PTF_6,5
PTF_7,1
PTF_8,1
PTF_9,5
