ParticipantId,PictureName,Status,Condition,Placement,LabelType,ReactionTime,Response
1,C_1,Control,Control,Control,Control,5,5
10,C_1,Control,Control,Control,Control,5,5
11,C_1,Control,Control,Control,Control,5,5
12,C_1,Control,Control,Control,Control,5,3
13,C_1,Control,Control,Control,Control,6,4
14,C_1,Control,Control,Control,Control,7,2
15,C_1,Control,Control,Control,Control,5,4
16,C_1,Control,Control,Control,Control,5,2
17,C_1,Control,Control,Control,Control,5,5
18,C_1,Control,Control,Control,Control,6,5
19,C_1,Control,Control,Control,Control,5,2
2,C_1,Control,Control,Control,Control,5,5
20,C_1,Control,Control,Control,Control,6,3
21,C_1,Control,Control,Control,Control,7,3
22,C_1,Control,Control,Control,Control,6,3
23,C_1,Control,Control,Control,Control,10,4
24,C_1,Control,Control,Control,Control,5,4
25,C_1,Control,Control,Control,Control,5,4
26,C_1,Control,Control,Control,Control,5,4
27,C_1,Control,Control,Control,Control,7,2
28,C_1,Control,Control,Control,Control,5,5
3,C_1,Control,Control,Control,Control,5,3
4,C_1,Control,Control,Control,Control,5,4
5,C_1,Control,Control,Control,Control,5,5
6,C_1,Control,Control,Control,Control,5,3
7,C_1,Control,Control,Control,Control,9,2
8,C_1,Control,Control,Control,Control,5,4
9,C_1,Control,Control,Control,Control,5,4
1,C_10,Control,Control,Control,Control,5,5
10,C_10,Control,Control,Control,Control,7,4
11,C_10,Control,Control,Control,Control,5,1
12,C_10,Control,Control,Control,Control,5,3
13,C_10,Control,Control,Control,Control,6,4
14,C_10,Control,Control,Control,Control,6,1
15,C_10,Control,Control,Control,Control,7,2
16,C_10,Control,Control,Control,Control,5,2
17,C_10,Control,Control,Control,Control,6,3
18,C_10,Control,Control,Control,Control,8,1
19,C_10,Control,Control,Control,Control,6,3
2,C_10,Control,Control,Control,Control,5,5
20,C_10,Control,Control,Control,Control,5,4
21,C_10,Control,Control,Control,Control,5,2
22,C_10,Control,Control,Control,Control,5,1
23,C_10,Control,Control,Control,Control,9,1
24,C_10,Control,Control,Control,Control,5,5
25,C_10,Control,Control,Control,Control,6,2
26,C_10,Control,Control,Control,Control,5,2
27,C_10,Control,Control,Control,Control,5,2
28,C_10,Control,Control,Control,Control,6,5
3,C_10,Control,Control,Control,Control,5,3
4,C_10,Control,Control,Control,Control,6,4
5,C_10,Control,Control,Control,Control,5,2
6,C_10,Control,Control,Control,Control,6,2
7,C_10,Control,Control,Control,Control,10,3
8,C_10,Control,Control,Control,Control,9,2
