SDQParticipantId,Q1,Q1Type,Q2,Q2Type,Q3,Q3Type,Q4,Q4Type,Q5,Q5Type
1,4,Contextual,5,Credibility,4,Mixed,5,Concurrent,5,PostExposure
10,5,Contextual,5,Credibility,5,Mixed,4,Concurrent,5,PostExposure
11,2,Contextual,5,Credibility,5,Mixed,5,Concurrent,1,PostExposure
12,4,Contextual,5,Credibility,5,Mixed,5,Concurrent,3,PostExposure
13,3,Contextual,4,Credibility,4,Mixed,4,Concurrent,3,PostExposure
14,5,Contextual,4,Credibility,4,Mixed,4,Concurrent,5,PostExposure
15,4,Contextual,3,Credibility,4,Mixed,4,Concurrent,5,PostExposure
16,5,Contextual,5,Credibility,5,Mixed,5,Concurrent,5,PostExposure
17,4,Contextual,4,Credibility,2,Mixed,5,Concurrent,4,PostExposure
18,4,Contextual,5,Credibility,4,Mixed,4,Concurrent,5,PostExposure
19,4,Contextual,2,Credibility,4,Mixed,4,Concurrent,4,PostExposure
2,2,Contextual,3,Credibility,3,Mixed,3,Concurrent,4,PostExposure
20,4,Contextual,2,Credibility,5,Mixed,3,Concurrent,4,PostExposure
21,4,Contextual,5,Credibility,5,Mixed,4,Concurrent,5,PostExposure
22,4,Contextual,3,Credibility,4,Mixed,4,Concurrent,2,PostExposure
23,4,Contextual,4,Credibility,2,Mixed,2,Concurrent,4,PostExposure
24,2,Contextual,4,Credibility,5,Mixed,5,Concurrent,3,PostExposure
25,4,Contextual,4,Credibility,5,Mixed,5,Concurrent,2,PostExposure
26,4,Contextual,3,Credibility,4,Mixed,4,Concurrent,4,PostExposure
27,5,Contextual,4,Credibility,5,Mixed,5,Concurrent,2,PostExposure
28,4,Contextual,2,Credibility,4,Mixed,3,Concurrent,4,PostExposure
3,4,Contextual,5,Credibility,5,Mixed,5,Concurrent,3,PostExposure
4,4,Contextual,1,Credibility,4,Mixed,4,Concurrent,2,PostExposure
5,2,Contextual,5,Credibility,4,Mixed,3,Concurrent,5,PostExposure
6,2,Contextual,5,Credibility,3,Mixed,1,Concurrent,3,PostExposure
7,5,Contextual,5,Credibility,5,Mixed,5,Concurrent,2,PostExposure
8,4,Contextual,4,Credibility,2,Mixed,3,Concurrent,4,PostExposure
9,3,Contextual,4,Credibility,4,Mixed,2,Concurrent,4,PostExposure
